Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved HMM 5,3.19833333333,0.5683333333333334,7.0,1.0,0.5177777777777778,0.05055555555555555,0.3033333333333333,0.12833333333333333,1.0,0.535344827586,0.025,0.263364293086
1,Fortress3,3.06111111111,0.19722222222222222,13.0,0.0,0.08611111111111111,0.1111111111111111,0.5,0.3027777777777778,1.0,0,0,0.404908796898
2,"DBS: 0.75, 3, 4, 3, 5",3.00611111111,0.6116666666666667,7.0,1.0,0.5488888888888889,0.06277777777777777,0.2427777777777778,0.14555555555555555,0.958951762523,0.791666666667,0.0444664031621,0.0803779069767
3,MoreGrofman,2.67833333333,0.6694444444444444,6.5,1.0,0.6011111111111112,0.06833333333333336,0.13611111111111113,0.19444444444444445,0.998599439776,0.627104377104,0.294810606061,0.0208333333333
4,Meta Majority Finite Memory: 86 players,2.67166666667,0.7783333333333333,3.5,1.0,0.6877777777777778,0.09055555555555557,0.09666666666666668,0.12499999999999997,1.0,0.207366071429,0.864412254412,0
5,"ZD-Extortion: 0.2, 0.1, 1",2.665,0.2288888888888889,17.5,1.0,0.16833333333333336,0.06055555555555557,0.3472222222222222,0.4238888888888889,0.597843014577,0.340537240537,0.295985207753,0
6,GTFT: 0.1,2.64611111111,0.8222222222222222,0.0,1.0,0.7227777777777776,0.09944444444444443,0.07499999999999998,0.10277777777777776,1.0,0.144083901677,1.0,0.0797404402374
7,Prober,2.63333333333,0.31333333333333335,9.5,0.0,0.25111111111111106,0.06222222222222223,0.2983333333333332,0.38833333333333336,0.734042553191,0.564102564103,0.516125440616,0.361632177346
8,Bully,2.59944444444,0.44277777777777777,11.0,0.0,0.15555555555555556,0.28722222222222216,0.39388888888888884,0.16333333333333333,0,1.0,0,1.0
9,Meta Minority: 200 players,2.58166666667,0.46,9.5,0.0,0.16722222222222222,0.29277777777777775,0.385,0.155,0.245957671026,1.0,0,0.997395833333
10,Slow Tit For Two Tats 2,2.49555555556,0.765,1.0,1.0,0.6661111111111111,0.0988888888888889,0.06555555555555555,0.16944444444444445,1.0,0.714795008913,0.46279491833,0
11,Random: 0.5,2.36444444444,0.48833333333333334,10.0,0.5,0.2627777777777778,0.22555555555555554,0.2661111111111112,0.24555555555555555,0.498642525232,0.519030036412,0.432355928317,0.508870866933
12,Grofman,2.33055555556,0.8277777777777777,2.5,1.0,0.6483333333333333,0.1794444444444444,0.05333333333333334,0.11888888888888888,1.0,0.341218156566,0.675546058879,0.935681918284
13,Willing,2.24111111111,0.9805555555555555,6.0,0.333333333333,0.722777777777778,0.2577777777777778,0.013333333333333332,0.006111111111111111,1.0,1.0,1.0,0
14,Math Constant Hunter,2.08277777778,0.8561111111111112,3.5,1.0,0.5433333333333334,0.3127777777777778,0.07722222222222223,0.06666666666666667,0.911784760422,0.830289115646,0.158751520459,0.4851342711
15,Random: 0.9,2.05111111111,0.8861111111111111,6.0,0.722222222222,0.5516666666666666,0.33444444444444443,0.07055555555555555,0.043333333333333335,0.886953431506,0.903886317638,0.916242254478,0.900255102041
16,Cycler CCCD,2.02555555556,0.76,6.5,1.0,0.4233333333333334,0.33666666666666667,0.12888888888888891,0.1111111111111111,0.672319648174,0.758755305505,1.0,1.0
17,Cycler CCCDCD,1.96166666667,0.68,7.0,1.0,0.3405555555555556,0.33944444444444444,0.155,0.16499999999999998,0.506122334836,0.599461533318,1.0,1.0
18,EasyGo,1.86277777778,0.895,2.5,0.0,0.47111111111111104,0.4238888888888888,0.08611111111111112,0.01888888888888889,1.0,1.0,0,1.0
