Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,NMWE Memory One: 35 players,3.02647058824,0.6617647058823529,5.0,1.0,0.6529411764705882,0.008823529411764706,0.1823529411764706,0.15588235294117647,1.0,0.333333333333,0,0
1,Evolved HMM 5,2.99588235294,0.8129411764705883,2.0,1.0,0.7770588235294119,0.03588235294117648,0.11941176470588237,0.06764705882352942,0.998546511628,0.564295977011,0,0.228076649718
2,Grudger,2.97117647059,0.69,4.5,1.0,0.6823529411764706,0.007647058823529412,0.15352941176470591,0.15647058823529414,1.0,0,0,0
3,GraaskampKatzen,2.89176470588,0.8423529411764706,2.0,1.0,0.8235294117647058,0.01882352941176471,0.06588235294117648,0.09176470588235294,1.0,0,0.726666666667,0
4,"General Soft Grudger: n=1,d=4,c=2",2.80941176471,0.8958823529411765,2.0,1.0,0.8500000000000001,0.04588235294117647,0.03882352941176471,0.06529411764705884,1.0,0.5,0.333333333333,0.361111111111
5,Soft Go By Majority: 5,2.80294117647,0.9070588235294118,1.0,1.0,0.8664705882352941,0.04058823529411765,0.02764705882352941,0.06529411764705882,1.0,0.620495495495,0.627380952381,0
6,Adaptive Tit For Tat: 0.5,2.79705882353,0.8841176470588236,0.0,1.0,0.8364705882352941,0.04764705882352942,0.04294117647058823,0.07294117647058823,1.0,0,1.0,0
7,Tit For Tat,2.79588235294,0.8835294117647059,0.0,1.0,0.8358823529411764,0.04764705882352942,0.04294117647058823,0.07352941176470588,1.0,0,1.0,0
8,"Stalker: (D,)",2.77117647059,0.8652941176470588,13.5,1.0,0.8294117647058824,0.03588235294117647,0.03705882352941176,0.09764705882352939,0.980851613552,0.516666666667,0.650724637681,0.0222222222222
9,Raider,2.76588235294,0.5323529411764706,5.5,0.0,0.48058823529411765,0.05176470588235296,0.21411764705882352,0.2535294117647059,1.0,0.646103896104,0.5,0.495344977084
10,Eatherley,2.75764705882,0.9217647058823529,0.0,1.0,0.8758823529411766,0.04588235294117647,0.012941176470588235,0.06529411764705884,1.0,0.576000318827,1.0,0.172619047619
11,GrudgerAlternator,2.72352941176,0.8288235294117647,2.0,1.0,0.7394117647058823,0.08941176470588236,0.08352941176470588,0.08764705882352941,0.93005952381,0,1.0,1.0
12,Eventual Cycle Hunter,2.59823529412,0.9,0.5,1.0,0.7747058823529411,0.1252941176470588,0.04352941176470588,0.05647058823529412,0.999134948097,0.946644200592,0.111111111111,0.125
13,DoubleResurrection,2.43882352941,0.57,11.0,1.0,0.38882352941176457,0.1811764705882353,0.2105882352941177,0.2194117647058824,0.827318512596,0,1.0,0.160515873016
14,Fool Me Forever,2.18470588235,0.8523529411764705,2.5,0.0,0.5064705882352942,0.3458823529411765,0.12941176470588237,0.018235294117647058,1.0,1.0,0,1.0
15,Willing,2.13647058824,0.9847058823529412,2.0,0.382352941176,0.6905882352941175,0.29411764705882354,0.012352941176470587,0.0029411764705882353,1.0,1.0,1.0,0
16,Handshake,2.04764705882,0.04823529411764706,16.5,1.0,0.017058823529411765,0.031176470588235295,0.26117647058823534,0.6905882352941175,0.5,0.978723404255,0,0.5
17,Negation,1.81058823529,0.6111764705882353,9.5,0.529411764706,0.12411764705882353,0.4870588235294118,0.2623529411764705,0.1264705882352941,0,1.0,0,1.0
