Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved HMM 5,2.8325,0.8,3.0,1.0,0.7555,0.044500000000000005,0.0915,0.1085,1.0,0.68374546615,0,0.19119047619
1,"BackStabber: (D, D)",2.805,0.8095,16.0,1.0,0.7855000000000001,0.024000000000000007,0.06450000000000003,0.12600000000000003,0.984797861078,0.833333333333,0,0
2,NMWE Deterministic: 138 players,2.7365,0.6695,3.5,1.0,0.6539999999999999,0.015500000000000003,0.11100000000000002,0.21949999999999997,0.998355263158,0.2,1.0,0.0448190413893
3,Grudger,2.707,0.5955,5.0,1.0,0.5835,0.011999999999999999,0.13799999999999998,0.26650000000000007,1.0,0,0,0
4,PSO Gambler Mem1,2.7045,0.8005,3.0,1.0,0.761,0.03950000000000001,0.05550000000000001,0.144,1.0,0.539478291317,0,0.137211923919
5,TF3,2.6845,0.6835,4.0,1.0,0.6639999999999999,0.019499999999999997,0.09400000000000001,0.2225,0.902632807309,0.693333333333,0.454010770975,0.0176927502877
6,Forgetful Grudger,2.659,0.6885,4.0,1.0,0.6725,0.015999999999999997,0.08250000000000002,0.229,1.0,0,0.0831935425685,0
7,Retaliate: 0.1,2.6385,0.712,4.0,1.0,0.6975000000000001,0.014499999999999999,0.06450000000000002,0.22350000000000003,1.0,0,0.0877777777778,0
8,"EugineNier: (D,)",2.6315,0.7555,14.0,1.0,0.735,0.020499999999999997,0.04550000000000001,0.199,0.984721115718,0,0.837037037037,0
9,Soft Go By Majority: 5,2.609,0.8755,0.0,1.0,0.8255000000000001,0.05000000000000001,0.002,0.12249999999999998,1.0,0.854166666667,1.0,0
10,"Stalker: (D,)",2.5985,0.8145,10.5,1.0,0.7709999999999999,0.043500000000000004,0.025,0.16049999999999998,0.981129770578,0.586507936508,0.942857142857,1.0
11,Doubler,2.554,0.834,0.0,1.0,0.786,0.048,0.0075000000000000015,0.1585,1.0,0.764896214896,1.0,0
12,Willing,2.493,0.99,0.5,0.525,0.8149999999999998,0.175,0.009500000000000003,0.0005,1.0,1.0,1.0,0
13,Average Copier,2.364,0.694,4.5,0.45,0.6140000000000001,0.08,0.054000000000000006,0.25199999999999995,0.919454950562,0.572737520129,0.788721804511,0.349628696591
14,Tranquilizer,2.268,0.649,5.0,1.0,0.5569999999999999,0.092,0.06150000000000002,0.2895,0.916173044624,0.627919122194,1.0,0.369986497965
15,Random: 0.9,2.1155,0.9015,5.0,0.9,0.5830000000000001,0.31850000000000006,0.06700000000000003,0.031500000000000014,0.888641806137,0.92493486661,0.915320512821,0.947802197802
16,"ZD-Extort-2: 0.1111111111111111, 0.5",2.026,0.343,16.0,1.0,0.30700000000000005,0.036000000000000004,0.11200000000000002,0.5449999999999999,0.840654512782,0.539458689459,0.43582870219,0
17,Cycler CCCCCD,1.963,0.84,6.5,1.0,0.46900000000000003,0.37100000000000005,0.09900000000000002,0.06100000000000001,0.769619414097,0.850204144694,1.0,1.0
18,TF2,1.8035,0.1645,13.5,1.0,0.13400000000000004,0.03050000000000001,0.14150000000000004,0.694,0.389446429913,0,0.698451058201,0.0578342749529
19,"ZD-Extort-4: 0.23529411764705882, 0.25, 1",1.732,0.16,17.0,1.0,0.136,0.024000000000000007,0.12100000000000002,0.719,0.603506623827,0,0.516965792163,0
20,Winner21,1.6735,0.2675,14.0,0.0,0.23900000000000002,0.02850000000000002,0.056000000000000015,0.6764999999999999,1.0,0,0.707216905901,0.45202020202
