Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Spiteful Tit For Tat,3.244,0.722,5.0,1.0,0.714,0.008,0.20600000000000002,0.072,1.0,0,1.0,0
1,NMWE Deterministic: 138 players,3.1935,0.6625,7.0,1.0,0.654,0.0085,0.22349999999999998,0.11400000000000002,0.985060690943,0,0,0.336917562724
2,Nice Meta Winner Ensemble: 200 players,3.175,0.665,6.5,1.0,0.656,0.009,0.21800000000000003,0.11700000000000002,0.983151417479,0.6,0.0277777777778,0.0767784846732
3,NMWE Memory One: 35 players,3.1615,0.6665,6.5,1.0,0.658,0.0085,0.21349999999999997,0.12,0.982207697894,0.555555555556,0,0.560975609756
4,PSO Gambler Mem1,3.119,0.788,4.5,1.0,0.753,0.034999999999999996,0.162,0.05,1.0,0.587152777778,0,0.292105263158
5,EvolvedLookerUp1_1_1,3.0915,0.7395,6.5,1.0,0.709,0.030500000000000006,0.176,0.08449999999999999,1.0,0,1.0,0
6,Retaliate 3: 0.05,3.012,0.749,6.0,1.0,0.7369999999999999,0.012,0.1375,0.1135,1.0,0,0.0466717479675,0
7,Resurrection,2.8195,0.8995,0.0,1.0,0.8709999999999999,0.028500000000000004,0.026500000000000003,0.074,1.0,0,1.0,0
8,Soft Go By Majority: 20,2.7765,0.883,1.0,1.0,0.8265,0.056500000000000015,0.045000000000000005,0.07200000000000001,1.0,0.747234791352,0.470833333333,0
9,Getzler,2.7685,0.8735,2.0,1.0,0.836,0.037500000000000006,0.033499999999999995,0.093,0.980314803267,0.46102971103,0.750310559006,0.226638141978
10,Win-Stay Lose-Shift: C,2.7305,0.9,1.0,1.0,0.8315,0.06849999999999999,0.033999999999999996,0.06599999999999999,1.0,0,0,1.0
11,Thumper,2.7175,0.846,1.5,1.0,0.8125,0.0335,0.0315,0.12250000000000001,1.0,0,0.833333333333,0
12,ShortMem,2.6985,0.9015,0.0,1.0,0.818,0.08349999999999999,0.036500000000000005,0.062,1.0,0.792758387446,0.569444444444,0
13,Meta Winner Finite Memory: 86 players,2.373,0.02,20.0,1.0,0.017000000000000005,0.0030000000000000005,0.3355000000000001,0.6445,0,0,0,0
14,Ripoff,2.3555,0.494,4.0,0.0,0.40449999999999997,0.08950000000000002,0.159,0.34699999999999986,0.907322201608,0.523366013072,1.0,0.692307692308
15,Stochastic WSLS: 0.05,2.2705,0.615,7.5,1.0,0.40650000000000003,0.2085,0.16649999999999998,0.21849999999999997,0.938256523576,0.0576352671577,0.137656840514,0.944653357945
16,Bully,2.1235,0.542,10.5,0.0,0.11650000000000002,0.42550000000000016,0.32899999999999996,0.12900000000000006,0,1.0,0,1.0
17,Fool Me Forever,2.09,0.8095,5.5,0.0,0.40249999999999997,0.40700000000000003,0.173,0.0175,1.0,1.0,0,1.0
18,Worse and Worse,2.012,0.9755,4.5,1.0,0.6405000000000001,0.33499999999999996,0.016499999999999997,0.008,0.972984536274,0.978892114458,0.985294117647,1.0
19,Tricky Cooperator,1.6615,0.8185,6.5,1.0,0.29399999999999993,0.5245000000000001,0.14950000000000002,0.032,0.82386725266,1.0,0,1.0
20,Cooperator Hunter,1.5415,0.9365,4.5,1.0,0.428,0.5085000000000001,0.048500000000000015,0.015000000000000003,0.916136447727,1.0,0,1.0
