Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"BackStabber: (D, D)",3.083,0.692,18.0,1.0,0.6629999999999999,0.028999999999999995,0.19649999999999998,0.11149999999999997,0.985722284434,0.78125,0,0
1,Inverse Punisher,2.9535,0.6525,6.0,1.0,0.6260000000000001,0.026500000000000006,0.18200000000000005,0.1655,1.0,0,0.101297260469,0
2,MoreGrofman,2.915,0.7395,5.5,1.0,0.6954999999999999,0.044,0.142,0.11850000000000001,0.948583743842,0.888449714537,0.122142527221,0
3,Adaptive Pavlov 2006,2.908,0.725,6.0,1.0,0.6849999999999999,0.04,0.14450000000000002,0.1305,0.991133004926,0.25,0.360714285714,0
4,Adaptive Pavlov 2011,2.8885,0.7575,5.0,1.0,0.6960000000000001,0.06150000000000001,0.1395,0.10300000000000002,0.984487179487,0.336102484472,0.441459627329,0.0555555555556
5,Shubik,2.806,0.6935,6.0,1.0,0.6405000000000001,0.053000000000000005,0.14450000000000002,0.16199999999999998,1.0,0,0.350749057144,0
6,"Alexei: (D,)",2.741,0.795,13.0,1.0,0.6839999999999999,0.11099999999999999,0.121,0.08399999999999998,0.988184747583,0,0.973214285714,0
7,Appeaser,2.702,0.781,3.0,1.0,0.673,0.10800000000000003,0.11600000000000003,0.10300000000000002,1.0,0,0,1.0
8,Adaptive Tit For Tat: 0.5,2.699,0.8055,0.0,1.0,0.6935,0.11200000000000002,0.10600000000000001,0.0885,1.0,0,1.0,0
9,VeryBad,2.6155,0.8915,1.0,1.0,0.787,0.1045,0.0365,0.072,1.0,0.749591503268,0.759259259259,0
10,Yamachi,2.6025,0.871,0.0,1.0,0.7664999999999998,0.10449999999999997,0.04349999999999998,0.08549999999999998,0.927019230769,0.815170940171,0.724747474747,0.149729437229
11,"Grumpy: Nice, 10, -10",2.5665,0.935,1.0,1.0,0.8004999999999999,0.1345,0.025,0.04,1.0,0.985185185185,0.04,0
12,GTFT: 0.7,2.4915,0.9505,0.0,1.0,0.7819999999999999,0.16849999999999996,0.023999999999999994,0.025499999999999995,1.0,0.775463882318,1.0,0.851325757576
13,Suspicious Tit For Tat,2.4155,0.6025,11.0,0.0,0.43600000000000005,0.16649999999999998,0.17750000000000002,0.21999999999999997,1.0,0,1.0,0
14,CollectiveStrategy,2.282,0.022,19.0,1.0,0.018,0.003999999999999999,0.31249999999999994,0.6655000000000001,0.5,0,0,0.521739130435
15,Tricky Defector,2.2195,0.316,10.0,0.0,0.05450000000000001,0.26149999999999995,0.34299999999999997,0.341,0,1.0,0,0.307692307692
16,Random: 0.7,2.1965,0.713,4.5,0.75,0.4164999999999999,0.2965,0.16499999999999998,0.122,0.745977431202,0.715710058037,0.746791563206,0.676879691061
17,ThueMorseInverse,2.1445,0.5,11.0,1.0,0.20350000000000001,0.29650000000000004,0.25850000000000006,0.2415,0.274997108155,0.453789572336,0.594093728001,0.805874080788
18,Hopeless,2.083,0.7155,8.0,0.475,0.27749999999999997,0.43800000000000006,0.24149999999999996,0.043,0,1.0,1.0,1.0
19,Cycler CCCDCD,2.0025,0.68,5.0,1.0,0.33149999999999996,0.3485,0.17199999999999996,0.148,0.578526154044,0.519792615946,1.0,1.0
20,Cycler CCD,1.993,0.68,4.5,1.0,0.317,0.36300000000000004,0.1805,0.1395,0.468154297508,0.610165526366,1.0,1.0
