Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Meta Winner: 8 players,2.9416,0.654,7.0,1.0,0.6396,0.0144,0.16920000000000002,0.17679999999999998,0.944075963719,0.5,0.0247252747253,0.055116233813
1,NMWE Memory One: 35 players,2.9052,0.636,7.0,1.0,0.6252,0.010799999999999999,0.1664,0.19759999999999997,1.0,0.166666666667,0,0.134090909091
2,"Michaelos: (D,)",2.89,0.6464,21.5,1.0,0.6316000000000002,0.0148,0.1604,0.19319999999999996,0.98511822524,0,0.326177579597,0
3,NMWE Finite Memory: 86 players,2.8692,0.626,7.0,1.0,0.6088,0.017199999999999997,0.1672,0.20679999999999998,0.966666666667,0.433333333333,0.0408018867925,0.170580296896
4,Evolved FSM 16,2.8676,0.7204,7.0,1.0,0.6392,0.08120000000000001,0.1676,0.112,0.922450014489,0.540482967381,0.463636363636,0.380883752519
5,NMWE Deterministic: 138 players,2.8256,0.6072,7.0,1.0,0.5928,0.014400000000000001,0.16360000000000002,0.22920000000000001,0.958974358974,0.266666666667,0.106060606061,0.072133038644
6,Retaliate 2: 0.08,2.8192,0.6884,7.0,1.0,0.6748,0.013600000000000003,0.12080000000000003,0.1908,1.0,0,0.0668917486023,0
7,"Limited Retaliate 2: 0.08, 15",2.7992,0.672,7.0,1.0,0.6472,0.0248,0.13240000000000002,0.19560000000000002,0.967391304348,0,0.0800188115978,0.0643347756183
8,Evolved FSM 4,2.7984,0.808,4.0,1.0,0.7248,0.08320000000000001,0.10800000000000003,0.08400000000000002,0.939958592133,0.422411616162,0,0.835124897625
9,Tideman and Chieruzzi,2.7164,0.7408,5.0,1.0,0.7188,0.022000000000000002,0.0752,0.184,1.0,0,0.468446969697,0
10,Yamachi,2.6632,0.8216,2.5,1.0,0.7680000000000001,0.0536,0.0452,0.1332,0.912339534884,0.71,0.559856630824,0.309809396746
11,Cave,2.6492,0.8444,1.0,1.0,0.7639999999999999,0.0804,0.05039999999999999,0.10519999999999997,0.998666666667,0.382238562092,0.675795454545,0.292289423539
12,Leyvraz,2.6092,0.8668,0.0,1.0,0.7528,0.114,0.0544,0.0788,0.941844444444,0.422279993669,0.822772557555,0.456933526999
13,Eventual Cycle Hunter,2.4732,0.892,1.0,1.0,0.7452000000000001,0.1468,0.032400000000000005,0.07560000000000001,0.998425091758,0.969436090226,0.121693121693,0.155555555556
14,"Feld: 1.0, 0.5, 200",2.4452,0.614,16.0,1.0,0.5167999999999998,0.0972,0.1272,0.25880000000000003,0.936704301425,0,0.911510960212,0
15,Meta Winner: 200 players,2.3908,0.02,24.0,1.0,0.01640000000000001,0.0036000000000000008,0.34039999999999987,0.6396000000000001,0,0,0,0
16,Prober 3,2.372,0.1964,11.5,0.0,0.11160000000000002,0.08480000000000003,0.30839999999999984,0.49520000000000003,0.980324074074,0,0.707428479225,0.399553571429
17,Cooperator,2.202,1.0,0.0,1.0,0.7340000000000001,0.266,0.0,0.0,1.0,1.0,0,0
18,ALLCorALLD,2.1444,0.68,8.0,0.68,0.4876,0.19240000000000002,0.0904,0.2296,1.0,1.0,0,0
19,Meta Hunter Aggressive: 7 players,2.0936,0.446,11.5,1.0,0.19640000000000002,0.24960000000000002,0.23759999999999998,0.31639999999999996,0.734493792928,0.859224485241,0.149029992912,0.251043739027
20,Colbert,1.9688,0.7408,3.0,1.0,0.49039999999999984,0.2504,0.05960000000000001,0.19960000000000003,0.949219901366,0.558784516137,0.852741509827,0.499642500984
21,Cycler DDC,1.9176,0.32,11.5,0.0,0.092,0.22800000000000004,0.24039999999999992,0.4396,0,0,0.421091661096,0.597930526184
22,Random: 0.5,1.9092,0.502,9.5,0.46,0.20799999999999996,0.294,0.1968,0.3012,0.504627195478,0.517561146912,0.532182214923,0.456055159016
23,ThueMorseInverse,1.8624,0.5,8.5,1.0,0.188,0.312,0.19959999999999997,0.3004,0.368594513126,0.340411249984,0.610408518772,0.696645282046
24,Meta Minority: 200 players,1.6256,0.6676,6.0,0.0,0.11,0.5576000000000002,0.2407999999999999,0.09160000000000001,0.355162698413,1.0,0,1.0
25,Fool Me Forever,1.5808,0.8824,5.5,0.0,0.3559999999999999,0.5264000000000002,0.09880000000000001,0.018800000000000004,1.0,1.0,0,1.0
