Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,EvolvedLookerUp2_2_2,2.80533333333,0.7766666666666666,3.0,1.0,0.7273333333333334,0.04933333333333333,0.1,0.12333333333333334,0.888038548753,0.479166666667,0.459558823529,0.671583850932
1,"DoubleCrosser: (D, D)",2.804,0.7006666666666667,14.0,1.0,0.6739999999999999,0.02666666666666667,0.12066666666666667,0.17866666666666667,0.986111111111,0.75,0,0
2,Nice Meta Winner Ensemble: 200 players,2.78533333333,0.6873333333333334,5.0,1.0,0.6713333333333333,0.016,0.11466666666666667,0.19799999999999998,0.950427350427,0.433333333333,0,0.0608705258506
3,Meta Majority Finite Memory: 86 players,2.76733333333,0.848,1.5,1.0,0.7713333333333333,0.07666666666666666,0.07533333333333332,0.07666666666666666,1.0,0.133333333333,0.874924242424,0
4,"Stein and Rapoport: 0.05: (D, D)",2.75,0.7466666666666667,12.5,1.0,0.706,0.04066666666666667,0.09466666666666669,0.15866666666666668,0.969269005848,0.290178571429,0.485050505051,0
5,PSO Gambler 2_2_2 Noise 05,2.746,0.7826666666666666,2.0,1.0,0.7273333333333333,0.05533333333333333,0.08666666666666666,0.13066666666666665,0.924433296172,0.470283479961,0.54634502924,0.314880719168
6,Doubler,2.70933333333,0.8453333333333334,0.0,1.0,0.7653333333333333,0.07999999999999999,0.06466666666666665,0.08999999999999998,1.0,0.625,1.0,0
7,GTFT: 0.1,2.632,0.8313333333333334,0.0,1.0,0.7393333333333334,0.092,0.06133333333333333,0.10733333333333334,1.0,0.124275362319,1.0,0.142568542569
8,"Stalker: (D,)",2.60266666667,0.842,8.5,1.0,0.7526666666666666,0.08933333333333332,0.046666666666666676,0.11133333333333331,0.939839096982,0.585183406696,0.825892857143,0.171428571429
9,Random Hunter,2.56266666667,0.8946666666666667,1.0,1.0,0.7639999999999999,0.13066666666666665,0.04133333333333334,0.064,0.985595238095,0.969696969697,0,0.217803030303
10,Tit For 2 Tats,2.53666666667,0.8833333333333333,0.0,1.0,0.788,0.09533333333333333,0.014000000000000002,0.10266666666666667,1.0,0.82,1.0,0
11,Prober 4,2.22933333333,0.34933333333333333,9.0,1.0,0.232,0.11733333333333332,0.22066666666666668,0.43,0.470086114283,0.365266585267,0.495618811257,0.203036633781
12,"ZD-SET-2: 0.25, 0.0, 2",2.214,0.452,8.5,1.0,0.2886666666666666,0.16333333333333336,0.2,0.34800000000000003,0.777875824523,0.265352745453,0.479201026034,0.262653437985
13,Random: 0.1,1.97933333333,0.08933333333333333,10.0,0.0333333333333,0.022000000000000006,0.06733333333333333,0.2506666666666667,0.66,0.25,0.150685425685,0.138214967821,0.0831557022238
14,Cycler DC,1.93666666667,0.5,4.0,0.0,0.11800000000000002,0.38199999999999995,0.2706666666666667,0.2293333333333333,0,0,1.0,1.0
15,AntiCycler,1.87533333333,0.8,4.0,1.0,0.4046666666666667,0.3953333333333333,0.11533333333333332,0.08466666666666665,0.740885169401,0.774869459777,0.773447293447,0.992481203008
