Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Fool Me Once,2.883,0.6855,6.5,1.0,0.6655,0.019999999999999997,0.14300000000000002,0.1715,1.0,0.625,0,0
1,RichardHufford,2.8495,0.6485,11.5,1.0,0.596,0.052500000000000005,0.1775,0.17399999999999993,0.918331674804,0.503146853147,0.749397307973,0.0648737284474
2,Adaptive Tit For Tat: 0.5,2.708,0.827,0.0,1.0,0.763,0.064,0.0615,0.1115,1.0,0,1.0,0
3,Adaptive Pavlov 2011,2.6965,0.8035,4.5,1.0,0.766,0.0375,0.0505,0.146,0.982745098039,0.354797979798,0.719135802469,0
4,Raider,2.683,0.343,7.5,0.0,0.26799999999999996,0.07500000000000001,0.3055,0.35150000000000003,0.998275862069,0.493157996894,0.579268601851,0.379461635246
5,GraaskampKatzen,2.673,0.7595,3.0,1.0,0.7234999999999999,0.03600000000000001,0.0655,0.175,1.0,0,0.791170634921,0
6,Math Constant Hunter,2.6545,0.813,7.5,1.0,0.6185000000000002,0.19449999999999998,0.153,0.034,0.908967797597,0.850879540319,0.231373181684,0.694083694084
7,Prober 4,2.641,0.3645,11.5,1.0,0.2745,0.09000000000000001,0.2955,0.33999999999999997,0.487259848715,0.437515262515,0.437550289072,0.351945658788
8,Nice Average Copier,2.624,0.805,3.0,1.0,0.733,0.07200000000000001,0.05750000000000001,0.13749999999999998,0.914157241466,0.609960405727,0.740262681159,0.339507149109
9,Soft Go By Majority,2.5945,0.866,1.0,1.0,0.7374999999999999,0.1285,0.062,0.07199999999999998,1.0,0.946464646465,0.826388888889,0
10,Forgetful Grudger,2.5895,0.634,9.0,1.0,0.6165,0.017499999999999998,0.0935,0.2725,1.0,0,0.104379997613,0
11,Appeaser,2.5175,0.776,2.5,1.0,0.6405,0.1355,0.093,0.131,1.0,0,0,1.0
12,Arrogant QLearner,2.5145,0.9355,5.5,1.0,0.7659999999999999,0.1695,0.038000000000000006,0.026499999999999996,0.957541050264,0.920774639369,0.974801587302,0.58125
13,Tricky Cooperator,2.4145,0.7205,8.0,1.0,0.387,0.3335000000000001,0.24349999999999997,0.03600000000000001,0.866365921214,1.0,0,1.0
14,TF1,2.4125,0.236,17.0,1.0,0.1975,0.0385,0.26400000000000007,0.5,0.433574929972,0.69375,0.436982064132,0.0992329619379
15,Stochastic Cooperator,2.3705,0.621,9.0,1.0,0.47250000000000003,0.14850000000000002,0.14350000000000002,0.23549999999999996,0.931607531969,0.279305524481,0.292439623285,0.456484329731
16,Hesitant QLearner,2.3095,0.935,3.5,0.95,0.6915,0.2435,0.04250000000000002,0.022500000000000003,0.948287503846,0.962058424567,0.991666666667,0.747777777778
17,Risky QLearner,2.246,0.918,4.0,0.925,0.662,0.256,0.04450000000000002,0.03750000000000001,0.945236650473,0.942809123324,0.92079004329,0.631163194444
18,Hard Go By Majority,2.2235,0.5575,6.5,0.0,0.413,0.14450000000000002,0.1355,0.307,1.0,0.77036061094,0.833597883598,0
19,Hard Go By Majority: 10,2.1705,0.472,11.5,0.0,0.40149999999999997,0.07050000000000001,0.10950000000000001,0.4185,1.0,0.760714285714,0.721616809117,0
20,Cooperator Hunter,2.145,0.9125,4.0,1.0,0.5864999999999999,0.3259999999999999,0.0745,0.012999999999999996,0.953119583743,1.0,0,1.0
