Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,EvolvedLookerUp1_1_1,2.43222222222,0.39222222222222225,7.0,1.0,0.3066666666666666,0.08555555555555557,0.22611111111111112,0.38166666666666665,1.0,0,1.0,0
1,PSO Gambler Mem1,2.38277777778,0.565,4.0,1.0,0.4588888888888888,0.1061111111111111,0.14277777777777778,0.2922222222222222,1.0,0.512943781365,0,0.177275413188
2,Borufsen,2.375,0.6183333333333333,3.5,1.0,0.5022222222222222,0.11611111111111108,0.12166666666666669,0.26,0.998102466793,0.182945134576,0.773641636142,0.181546065883
3,Prober 3,2.19555555556,0.24555555555555555,9.0,0.0,0.09666666666666666,0.1488888888888889,0.2877777777777777,0.4666666666666668,0.993548387097,0,0.735550925226,0.0418882978723
4,DoubleResurrection,2.16444444444,0.49277777777777776,7.0,1.0,0.25833333333333336,0.23444444444444443,0.22055555555555556,0.2866666666666666,0.883756846368,0,1.0,0.180333951763
5,Gladstein,2.11555555556,0.4688888888888889,4.0,0.0,0.3088888888888889,0.16000000000000003,0.16444444444444448,0.3666666666666666,0.957469129445,0.374762329174,1.0,0.250147754137
6,Worse and Worse 2,2.10888888889,0.5894444444444444,4.5,1.0,0.3461111111111111,0.2433333333333333,0.165,0.24555555555555555,0.807757202125,0.418224674394,0.637921136061,0.458094153464
7,WmAdams,2.10555555556,0.6544444444444445,1.0,1.0,0.49555555555555547,0.1588888888888889,0.06833333333333333,0.27722222222222226,1.0,0.508028824061,0.732382154882,0.447649152594
8,Meta Winner Stochastic: 62 players,2.08388888889,0.025,15.5,1.0,0.01777777777777778,0.007222222222222223,0.26388888888888884,0.7111111111111111,0,0,0.0540540540541,0.0212516087516
9,Meta Winner: 200 players,2.07944444444,0.02,15.5,1.0,0.01611111111111111,0.0038888888888888883,0.2627777777777778,0.7172222222222222,0,0,0,0
10,Stochastic WSLS: 0.05,2.07166666667,0.5211111111111111,6.0,1.0,0.25166666666666665,0.2694444444444445,0.20944444444444446,0.2694444444444445,0.958755212567,0.0546462708805,0.0594398672583,0.953510020155
11,Cycler DDC,2.06666666667,0.32,11.5,0.0,0.0711111111111111,0.2488888888888889,0.2933333333333332,0.3866666666666666,0,0,0.278091074366,0.719186050499
12,ShortMem,2.05944444444,0.6533333333333333,0.0,1.0,0.4872222222222222,0.16611111111111113,0.06277777777777778,0.28388888888888886,1.0,0.698414708786,0.93125,0
13,Calculator,1.95944444444,0.3161111111111111,9.5,1.0,0.20222222222222222,0.11388888888888887,0.16722222222222224,0.5166666666666666,0.878178060747,0,0.674268017298,0
14,"ZD-Extortion: 0.2, 0.1, 1",1.95388888889,0.14055555555555554,13.0,1.0,0.09000000000000001,0.05055555555555556,0.20611111111111113,0.6533333333333334,0.662063292381,0.270984570985,0.294424387547,0
15,ThueMorseInverse,1.94222222222,0.5,8.5,1.0,0.17555555555555552,0.3244444444444444,0.2288888888888889,0.2711111111111111,0.333766487292,0.381380672455,0.623543559378,0.792497778223
16,TF2,1.87777777778,0.15444444444444444,13.5,1.0,0.08555555555555554,0.06888888888888887,0.19388888888888886,0.6516666666666666,0.378659611993,0,0.479453502415,0.133097378812
17,$\phi$,1.59722222222,0.7527777777777778,4.0,1.0,0.25,0.5027777777777778,0.15000000000000002,0.09722222222222224,0.469686859103,1.0,0.296471440663,1.0
18,Random: 0.9,1.58944444444,0.9133333333333333,1.5,0.916666666667,0.44833333333333325,0.46499999999999997,0.03944444444444445,0.04722222222222222,0.895316062899,0.912622360776,0.921726190476,0.94549568079
