Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved FSM 16 Noise 05,2.89565217391,0.7291304347826087,5.0,1.0,0.7056521739130436,0.023478260869565226,0.12695652173913044,0.14391304347826095,0.976021099497,0.564298446651,0.296114770897,0.151367924528
1,NMWE Finite Memory: 86 players,2.76260869565,0.5995652173913043,7.0,1.0,0.5856521739130435,0.013913043478260867,0.15130434782608698,0.2491304347826087,0.993110047847,0.166666666667,0.0357142857143,0.0531510690545
2,Nice Meta Winner: 200 players,2.75217391304,0.5856521739130435,7.5,1.0,0.5769565217391305,0.008695652173913044,0.1517391304347826,0.2626086956521739,1.0,0,0,0
3,Forgetful Fool Me Once: 0.05,2.74782608696,0.782608695652174,3.5,1.0,0.7426086956521738,0.04,0.07565217391304348,0.1417391304347826,1.0,0.628939524528,0.14307016376,0.0783758032242
4,Forgiver,2.72434782609,0.6426086956521739,7.5,1.0,0.6313043478260869,0.011304347826086955,0.11826086956521736,0.2391304347826087,1.0,0.75,0.0521680216802,0
5,Borufsen,2.72347826087,0.8452173913043478,1.0,1.0,0.7704347826086956,0.07478260869565219,0.06434782608695652,0.09043478260869565,1.0,0.237484737485,0.911877394636,0.236837891106
6,MoreGrofman,2.69,0.7439130434782608,5.0,1.0,0.7121739130434782,0.03173913043478261,0.07434782608695653,0.1817391304347826,0.991718426501,0.489795918367,0.427775297619,0.0151515151515
7,"Limited Retaliate 2: 0.08, 15",2.6852173913,0.6482608695652174,7.5,1.0,0.6213043478260869,0.026956521739130438,0.11739130434782612,0.23434782608695653,0.950757575758,0,0.0866338591838,0.0663203718741
8,Soft Go By Majority,2.67608695652,0.8643478260869565,2.5,1.0,0.7986956521739131,0.06565217391304348,0.036086956521739134,0.09956521739130435,1.0,0.762394957983,0.523015873016,0
9,Adaptive Tit For Tat: 0.5,2.65347826087,0.7973913043478261,0.0,1.0,0.7230434782608696,0.07434782608695652,0.07043478260869565,0.13217391304347825,1.0,0,1.0,0
10,Hard Tit For Tat,2.61,0.6469565217391304,7.0,1.0,0.63,0.01695652173913044,0.09173913043478264,0.26130434782608697,1.0,0,0.259259259259,0
11,Grofman,2.54695652174,0.8791304347826087,0.5,1.0,0.7530434782608696,0.12608695652173912,0.04173913043478261,0.0791304347826087,1.0,0.339206628495,0.566726478031,0.883928571429
12,Alternator Hunter,2.36608695652,0.9617391304347827,1.0,1.0,0.7504347826086956,0.21130434782608692,0.019130434782608695,0.019130434782608695,1.0,0.966666666667,0,0
13,Tester,2.3247826087,0.5313043478260869,6.5,0.0,0.43782608695652175,0.09347826086956523,0.1356521739130435,0.3330434782608695,0.845879308245,0.542418225872,1.0,0.431266968326
14,Cooperator,2.25652173913,1.0,0.0,1.0,0.7521739130434782,0.24782608695652178,0.0,0.0,1.0,1.0,0,0
15,Remorseful Prober: 0.1,2.24217391304,0.5034782608695653,12.5,1.0,0.3830434782608695,0.1204347826086957,0.1491304347826087,0.34739130434782606,0.860873431998,0,0.921544561577,0.455593619652
16,Meta Winner Long Memory: 114 players,2.17869565217,0.02,22.5,1.0,0.01695652173913044,0.003043478260869566,0.28695652173913033,0.6930434782608696,0,0,0,0
17,Fool Me Forever,2.1647826087,0.8717391304347826,4.0,0.0,0.5321739130434782,0.33956521739130435,0.10999999999999999,0.018260869565217396,1.0,1.0,0,1.0
18,Colbert,2.15652173913,0.7821739130434783,5.0,1.0,0.5813043478260869,0.20086956521739138,0.04869565217391306,0.16913043478260875,0.937755928293,0.607450075764,0.864035087719,0.616293863474
19,"ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1",2.12826086957,0.26521739130434785,19.0,1.0,0.22043478260869562,0.04478260869565218,0.1830434782608696,0.5517391304347826,0.804898879619,0.489384920635,0.27188581401,0
20,Random: 0.3,2.0352173913,0.27869565217391307,11.0,0.347826086957,0.09999999999999998,0.17869565217391306,0.2534782608695652,0.4678260869565217,0.304676929601,0.289585069128,0.2812039953,0.282835897906
21,SelfSteem,1.91826086957,0.45869565217391306,7.5,0.521739130435,0.25086956521739134,0.20782608695652172,0.1560869565217391,0.3852173913043478,0.711790364449,0.41866078945,0.629904820917,0.263437330504
22,Bully,1.9052173913,0.5817391304347826,8.5,0.0,0.13217391304347825,0.44956521739130445,0.2726086956521738,0.14565217391304347,0,1.0,0,1.0
23,Alternator,1.8552173913,0.5,9.5,1.0,0.1508695652173913,0.3491304347826088,0.22565217391304349,0.27434782608695657,0,0,1.0,1.0
