Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"N Tit(s) For M Tat(s): 3, 2",2.62956521739,0.8360869565217391,1.0,1.0,0.8004347826086956,0.03565217391304346,0.016086956521739124,0.14782608695652172,1.0,0.830519480519,0.229166666667,0.030303030303
1,"Stein and Rapoport: 0.05: (D, D)",2.62913043478,0.7708695652173913,16.5,1.0,0.7391304347826086,0.03173913043478261,0.04565217391304348,0.18347826086956526,0.984630182119,0.423024891775,0.828708133971,0
2,Slow Tit For Two Tats 2,2.62565217391,0.8321739130434782,1.0,1.0,0.8047826086956523,0.02739130434782609,0.010869565217391302,0.1569565217391304,1.0,0.798051948052,0.361111111111,0
3,Hard Tit For 2 Tats,2.61913043478,0.837391304347826,0.0,1.0,0.7956521739130435,0.0417391304347826,0.017391304347826084,0.1452173913043478,1.0,0.698733085097,0.322510822511,0.57397260274
4,Defector Hunter,2.59956521739,1.0,0.0,1.0,0.8665217391304348,0.1334782608695652,0.0,0.0,1.0,1.0,0,0
5,ShortMem,2.58260869565,0.8426086956521739,1.0,1.0,0.7939130434782607,0.048695652173913036,0.010869565217391304,0.14652173913043476,1.0,0.880952380952,0.767857142857,0
6,Tranquilizer,2.51956521739,0.7065217391304348,8.0,1.0,0.6469565217391303,0.05956521739130436,0.07130434782608697,0.2221739130434783,0.927803376769,0.632140822141,0.992753623188,0.765151515152
7,Soft Go By Majority: 20,2.51913043478,0.8134782608695652,1.5,1.0,0.7473913043478262,0.06608695652173913,0.022608695652173914,0.16391304347826088,1.0,0.833857364495,0.803571428571,0
8,Firm But Fair,2.50956521739,0.8139130434782609,0.0,1.0,0.6591304347826088,0.1547826086956522,0.0865217391304348,0.09956521739130436,1.0,0,1.0,0.635799380358
9,Adaptive Pavlov 2011,2.50260869565,0.7369565217391304,2.0,1.0,0.7065217391304348,0.030434782608695653,0.03,0.23304347826086957,1.0,0.214713064713,0.876623376623,0.0212765957447
10,Meta Majority: 200 players,2.46913043478,0.7160869565217391,1.5,1.0,0.6669565217391306,0.04913043478260871,0.04608695652173913,0.2378260869565217,1.0,0.163461538462,0.905454545455,0
11,Worse and Worse 3,2.45782608696,0.7630434782608696,1.0,1.0,0.6939130434782609,0.0691304347826087,0.034782608695652174,0.20217391304347823,0.940366287203,0.661759249875,0.724007936508,0.331054845129
12,Punisher,2.42434782609,0.6530434782608696,4.5,1.0,0.6391304347826087,0.013913043478260867,0.04000000000000001,0.3069565217391304,1.0,0,0.208648989899,0
13,Forgetful Grudger,2.41826086957,0.6408695652173914,4.0,1.0,0.6295652173913043,0.011304347826086957,0.042608695652173914,0.31652173913043474,1.0,0,0.0684523809524,0
14,Grudger,2.41086956522,0.6243478260869565,4.0,1.0,0.6152173913043477,0.009130434782608695,0.04739130434782608,0.32826086956521733,1.0,0,0,0
15,Random: 0.9,2.37956521739,0.8921739130434783,10.0,0.891304347826,0.6482608695652173,0.24391304347826087,0.0817391304347826,0.02608695652173913,0.885215997715,0.891768300691,0.921180595477,0.907119514472
16,Joss: 0.9,2.1452173913,0.4578260869565217,14.0,1.0,0.38478260869565206,0.07304347826086957,0.11217391304347825,0.43000000000000005,0.865424901566,0,0.906415721266,0
17,Hard Go By Majority: 5,2.10565217391,0.48478260869565215,11.0,0.0,0.4008695652173913,0.08391304347826088,0.09695652173913043,0.41826086956521735,1.0,0.600680272109,0.875432900433,0
18,SolutionB5,1.87086956522,0.33695652173913043,14.0,0.0,0.28956521739130425,0.04739130434782608,0.08478260869565217,0.5782608695652174,1.0,0,0.847129578496,0
19,"ZD-SET-2: 0.25, 0.0, 2",1.85217391304,0.4143478260869565,7.5,1.0,0.22565217391304346,0.18869565217391304,0.14739130434782607,0.43826086956521737,0.768256597952,0.289479303923,0.480479608111,0.229540886752
20,"ZD-Mischief: 0.1, 0.0, 1",1.78173913043,0.16434782608695653,19.0,1.0,0.14434782608695657,0.019999999999999997,0.1282608695652174,0.707391304347826,0.795568068295,0.784523809524,0.220097234868,0
21,"ZD-Extortion: 0.2, 0.1, 1",1.74739130435,0.16391304347826086,19.0,1.0,0.1478260869565217,0.016086956521739134,0.11695652173913045,0.7191304347826086,0.723949597463,0.708333333333,0.358697843837,0
22,"ZD-Extort-4: 0.23529411764705882, 0.25, 1",1.67,0.14347826086956522,18.0,1.0,0.11000000000000001,0.03347826086956522,0.1208695652173913,0.7356521739130434,0.553234428749,0,0.519017215405,0
23,Random: 0.1,1.59869565217,0.10130434782608695,9.5,0.152173913043,0.01478260869565217,0.08652173913043479,0.16391304347826077,0.7347826086956522,0,0.16370593692,0.157461809531,0.110958398755
