Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved ANN 5,2.85481481481,0.8222222222222222,3.0,1.0,0.7896296296296298,0.03259259259259259,0.07703703703703704,0.10074074074074073,0.973076923077,0.812637362637,0.13490164806,0
1,"Omega TFT: 3, 8",2.82814814815,0.7762962962962963,3.5,1.0,0.7437037037037038,0.0325925925925926,0.09333333333333335,0.1303703703703704,1.0,0.257142857143,0.638892496392,0.047619047619
2,"DoubleCrosser: (D, D)",2.80814814815,0.7674074074074074,21.0,1.0,0.7385185185185185,0.02888888888888888,0.09000000000000001,0.1425925925925926,0.982511096852,0.837012987013,0.333333333333,0
3,"Stein and Rapoport: 0.05: (D, D)",2.77333333333,0.7622222222222222,22.0,1.0,0.7207407407407408,0.04148148148148149,0.09333333333333335,0.14444444444444446,0.982091970393,0.534502923977,0.618249349335,0
4,Forgetful Fool Me Once: 0.05,2.73555555556,0.7874074074074074,5.5,1.0,0.7451851851851851,0.042222222222222223,0.07185185185185186,0.14074074074074072,1.0,0.716147988314,0.0920798785501,0.0655780167712
5,Meta Hunter: 6 players,2.73185185185,0.792962962962963,5.0,1.0,0.7122222222222223,0.08074074074074072,0.09703703703703703,0.10999999999999997,0.926152636714,0.831334966203,0.194886363636,0.239570534428
6,Soft Go By Majority: 10,2.67592592593,0.882962962962963,0.0,1.0,0.807037037037037,0.07592592592592592,0.034444444444444444,0.08259259259259259,1.0,0.722723728513,0.735714285714,0
7,Nice Meta Winner Ensemble: 200 players,2.6662962963,0.6681481481481482,5.5,1.0,0.6507407407407408,0.01740740740740741,0.09555555555555557,0.23629629629629628,0.965211784823,0.242261904762,0.0383310690069,0.104380579134
8,Soft Go By Majority: 20,2.65148148148,0.8674074074074074,0.5,1.0,0.7685185185185184,0.09888888888888887,0.05333333333333332,0.07925925925925924,1.0,0.720236013986,0.745054945055,0
9,"ZD-GEN-2: 0.125, 0.5, 3",2.63444444444,0.8562962962962963,0.5,1.0,0.7803703703703703,0.07592592592592591,0.0374074074074074,0.10629629629629629,1.0,0.584050534051,0.507933460973,0.173973626012
10,Soft Go By Majority,2.61444444444,0.8422222222222222,0.5,1.0,0.7522222222222221,0.09000000000000002,0.05,0.10777777777777778,1.0,0.833714285714,0.757142857143,0
11,Punisher,2.60185185185,0.6859259259259259,6.5,1.0,0.6662962962962963,0.019629629629629625,0.07222222222222223,0.24185185185185182,1.0,0,0.201495444668,0
12,Grofman,2.59444444444,0.8907407407407407,0.5,1.0,0.7829629629629629,0.10777777777777776,0.03407407407407407,0.07518518518518519,1.0,0.391661582897,0.438140275873,0.930587121212
13,Eventual Cycle Hunter,2.5862962963,0.8925925925925926,1.5,1.0,0.7655555555555557,0.12703703703703703,0.04555555555555556,0.06185185185185185,0.994862593547,0.986684114504,0.126984126984,0.0736111111111
14,Soft Grudger,2.52888888889,0.7937037037037037,3.5,1.0,0.6981481481481481,0.09555555555555557,0.05703703703703704,0.14925925925925923,1.0,0.450983764812,0.331404320988,0.27047311828
15,Meta Majority Memory One: 35 players,2.52481481481,0.7174074074074074,6.0,1.0,0.6703703703703704,0.04703703703703705,0.05777777777777778,0.22481481481481486,0.983669812644,0,0.792762062499,0.0153846153846
16,ZD-Mem2,2.50481481481,0.6448148148148148,16.5,1.0,0.5407407407407407,0.10407407407407408,0.13185185185185183,0.22333333333333336,0.887110481084,0.28241948404,0.82212346089,0.18303512608
17,Defector Hunter,2.49222222222,0.9729629629629629,0.0,1.0,0.8207407407407408,0.15222222222222223,0.0007407407407407407,0.026296296296296293,1.0,0.99358974359,1.0,0
18,Hesitant QLearner,2.37222222222,0.9188888888888889,8.5,0.907407407407,0.7118518518518518,0.207037037037037,0.0388888888888889,0.042222222222222223,0.927612498979,0.945262436998,0.929761904762,0.598050438124
19,Hard Go By Majority: 20,2.29333333333,0.5225925925925926,15.0,0.0,0.43,0.09259259259259257,0.13148148148148148,0.34592592592592586,1.0,0.898106060606,0.776891393869,0
20,Joss: 0.9,2.28222222222,0.5170370370370371,20.5,1.0,0.4377777777777777,0.07925925925925927,0.12148148148148145,0.36148148148148146,0.869390272418,0,0.88310327493,0
21,Meta Hunter Aggressive: 7 players,2.2762962963,0.4988888888888889,13.0,1.0,0.2618518518518518,0.23703703703703707,0.24740740740740746,0.2537037037037037,0.74142224164,0.929961088104,0.200601636431,0.375741918594
22,Hard Go By Majority: 40,2.21111111111,0.5374074074074074,13.0,0.0,0.42925925925925923,0.10814814814814815,0.1151851851851852,0.3474074074074074,1.0,0.9,0.796652661064,0
23,Random Tit for Tat: 0.5,2.20296296296,0.5137037037037037,12.0,1.0,0.3337037037037036,0.18000000000000005,0.17888888888888893,0.30740740740740735,0.708051201047,0.193387849319,0.836505754494,0.31167547845
24,ThueMorse,2.05703703704,0.5,9.5,0.0,0.1822222222222222,0.3177777777777778,0.2525925925925926,0.2474074074074074,0.32722872576,0.387271716845,0.639774318862,0.742083586238
25,Meta Winner Finite Memory: 86 players,1.96296296296,0.02,23.5,1.0,0.01703703703703704,0.002962962962962963,0.23296296296296296,0.747037037037037,0,0,0,0
