Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,GTFT: 0.33,2.84066666667,0.946,0.0,1.0,0.8986666666666666,0.047333333333333324,0.022666666666666665,0.03133333333333333,1.0,0.251041666667,1.0,0.419413919414
1,Forgiving Tit For Tat,2.774,0.8653333333333333,0.0,1.0,0.8059999999999999,0.059333333333333335,0.05533333333333333,0.07933333333333333,1.0,0.133333333333,1.0,0
2,Worse and Worse 3,2.72933333333,0.854,2.5,1.0,0.7686666666666666,0.08533333333333333,0.06933333333333333,0.07666666666666665,0.912897283887,0.541906118573,0.588002275502,0.580095113262
3,Forgetful Fool Me Once: 0.05,2.646,0.8266666666666667,1.5,1.0,0.786,0.04066666666666667,0.028666666666666667,0.14466666666666667,1.0,0.656605188184,0.196428571429,0.136714067778
4,Fool Me Once,2.644,0.732,1.5,1.0,0.7173333333333334,0.014666666666666666,0.056,0.21199999999999997,1.0,0.583333333333,0,0
5,Two Tits For Tat,2.62533333333,0.6886666666666666,6.0,1.0,0.6646666666666667,0.024000000000000004,0.08000000000000003,0.23133333333333336,1.0,0,0.348888888889,0
6,Thumper,2.62533333333,0.7,5.5,1.0,0.6719999999999999,0.028,0.07733333333333335,0.22266666666666668,1.0,0,0.455238095238,0
7,"N Tit(s) For M Tat(s): 3, 2",2.59666666667,0.878,0.0,1.0,0.816,0.062000000000000006,0.006666666666666668,0.11533333333333334,1.0,0.827777777778,0.333333333333,0.025641025641
8,Stochastic Cooperator,2.57333333333,0.6593333333333333,9.5,1.0,0.5433333333333333,0.11600000000000002,0.15066666666666667,0.19,0.931892974591,0.238138985198,0.345704493919,0.430649484602
9,Tit For 2 Tats,2.56533333333,0.8706666666666667,0.0,1.0,0.804,0.06666666666666668,0.006000000000000001,0.12333333333333335,1.0,0.794444444444,1.0,0
10,GTFT: 0.7,2.56,0.956,0.0,1.0,0.828,0.12800000000000003,0.008,0.036000000000000004,1.0,0.736184576203,1.0,0.77673814165
11,Tester,2.39733333333,0.5306666666666666,4.5,0.0,0.4773333333333332,0.05333333333333334,0.12400000000000003,0.3453333333333334,0.794436944286,0.543939393939,1.0,0.673913043478
12,Cycler CCCCCD,2.33866666667,0.84,5.0,1.0,0.5573333333333333,0.2826666666666666,0.12666666666666662,0.033333333333333326,0.791073042958,0.914766168488,1.0,1.0
13,Pun1,2.29933333333,0.7926666666666666,7.0,0.0,0.588,0.20466666666666664,0.08199999999999999,0.12533333333333332,1.0,0.263888888889,1.0,1.0
14,Prober,2.138,0.24666666666666667,8.0,0.0,0.20199999999999999,0.04466666666666667,0.19466666666666668,0.5586666666666666,0.692307692308,0.475783475783,0.641020734591,0.0317028985507
15,TF1,2.00533333333,0.136,11.0,1.0,0.08000000000000002,0.056,0.22533333333333339,0.6386666666666667,0.367521367521,0.682142857143,0.301520856996,0.0446436980685
