Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"Omega TFT: 3, 8",2.84388888889,0.7422222222222222,3.0,1.0,0.7205555555555555,0.021666666666666667,0.10611111111111111,0.15166666666666667,1.0,0.229166666667,0.650888251395,0
1,"DoubleCrosser: (D, D)",2.77,0.6883333333333334,14.0,1.0,0.6572222222222222,0.031111111111111114,0.12166666666666669,0.19,0.983211189913,0.8125,0,0
2,NMWE Deterministic: 138 players,2.70333333333,0.6222222222222222,5.5,1.0,0.6099999999999999,0.012222222222222223,0.12388888888888891,0.2538888888888889,0.974358974359,0.333333333333,0.0307692307692,0.0267488984708
3,Retaliate: 0.1,2.61722222222,0.6455555555555555,6.0,1.0,0.6283333333333334,0.017222222222222222,0.09444444444444446,0.26,1.0,0,0.0929975429975,0
4,Doubler,2.57555555556,0.7716666666666666,0.0,1.0,0.6972222222222222,0.07444444444444445,0.0638888888888889,0.16444444444444445,1.0,0.68115942029,1.0,0
5,Hard Tit For Tat,2.57166666667,0.6477777777777778,6.5,1.0,0.6272222222222221,0.020555555555555556,0.08444444444444445,0.2677777777777778,1.0,0,0.288888888889,0
6,"ZD-GEN-2: 0.125, 0.5, 3",2.54166666667,0.8288888888888889,2.0,1.0,0.7272222222222222,0.10166666666666668,0.04722222222222223,0.12388888888888891,1.0,0.502031784005,0.627842333105,0.220500453634
7,Two Tits For Tat,2.53611111111,0.6616666666666666,6.5,1.0,0.6333333333333333,0.028333333333333335,0.07444444444444445,0.26388888888888884,1.0,0,0.441666666667,0
8,Soft Grudger,2.49444444444,0.7822222222222223,2.0,1.0,0.6833333333333333,0.09888888888888889,0.05666666666666667,0.1611111111111111,1.0,0.427684937611,0.614516129032,0.267949899563
9,Nydegger,2.49111111111,0.9055555555555556,1.0,1.0,0.7233333333333335,0.18222222222222223,0.05666666666666668,0.03777777777777779,0.999033816425,0.959535054611,0.708333333333,0.458333333333
10,Appeaser,2.33666666667,0.805,2.0,1.0,0.6516666666666667,0.15333333333333335,0.04666666666666667,0.14833333333333332,1.0,0,0,1.0
11,Worse and Worse,2.12222222222,0.9755555555555555,3.0,1.0,0.6733333333333332,0.3022222222222221,0.01944444444444444,0.004999999999999998,0.97478959025,0.985028989781,0.974358974359,1.0
12,Raider,2.10555555556,0.31777777777777777,5.5,0.0,0.24555555555555555,0.07222222222222223,0.1716666666666667,0.5105555555555555,0.986717486717,0.499814814815,0.775362318841,0.338131370481
13,TF1,2.10222222222,0.15222222222222223,12.0,1.0,0.10111111111111108,0.0511111111111111,0.23777777777777775,0.61,0.426811416296,0.578703703704,0.500340455731,0.0496169772257
14,Better and Better,2.07611111111,0.03277777777777778,13.5,0.0,0.008888888888888889,0.02388888888888889,0.27055555555555555,0.6966666666666668,0.333333333333,0.466666666667,0.0583797824342,0.0303940395435
15,Hard Go By Majority: 40,2.02777777778,0.3377777777777778,9.0,0.0,0.2833333333333333,0.054444444444444455,0.12888888888888891,0.5333333333333334,1.0,0.875,0.722056489262,0
16,Tricky Defector,1.91611111111,0.38055555555555554,9.0,0.0,0.05444444444444445,0.32611111111111113,0.2833333333333333,0.3361111111111111,0,1.0,0,0.291719943048
17,Random: 0.7,1.82888888889,0.6988888888888889,5.0,0.638888888889,0.33,0.3688888888888889,0.13444444444444445,0.16666666666666666,0.742513173876,0.709199352554,0.687802067687,0.71028336666
18,Desperate,1.45777777778,0.4083333333333333,5.5,0.555555555556,0.04055555555555557,0.36777777777777776,0.18611111111111112,0.40555555555555556,0,0,0,1.0
