Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,EvolvedLookerUp2_2_2,2.799,0.7645,5.5,1.0,0.6545,0.11000000000000001,0.15000000000000002,0.08549999999999999,0.845027577786,0.441806722689,0.800704607046,0.822977402105
1,Hard Tit For 2 Tats,2.67,0.8935,0.0,1.0,0.8005,0.09300000000000003,0.0405,0.066,1.0,0.789646464646,0.478974358974,0.145833333333
2,Inverse Punisher,2.663,0.548,7.0,1.0,0.5269999999999999,0.021,0.15750000000000003,0.2945,1.0,0,0.277741134391,0
3,"Limited Retaliate 3: 0.05, 20",2.6515,0.486,9.0,1.0,0.45649999999999996,0.02950000000000001,0.192,0.322,0.93054503367,0,0.0621710063336,0.050332676286
4,Retaliate 2: 0.08,2.646,0.4925,9.0,1.0,0.4715,0.021,0.18100000000000002,0.3264999999999999,1.0,0,0.0659104241335,0
5,Hard Prober,2.6315,0.3985,7.0,0.0,0.31799999999999995,0.08050000000000002,0.269,0.3325,0.92619047619,0.443313131313,0.558118178634,0.390144499943
6,Soft Go By Majority: 20,2.491,0.824,1.0,1.0,0.679,0.145,0.06949999999999999,0.1065,1.0,0.611558758579,0.815909090909,0
7,Inverse,2.4715,0.5655,9.0,1.0,0.503,0.062499999999999986,0.13199999999999998,0.30249999999999994,0.898719211823,0,0.580620133834,0
8,Handshake,2.4445,0.044,17.5,1.0,0.0315,0.0125,0.3485,0.6074999999999999,0.945945945946,1.0,0,0.0909090909091
9,Cycle Hunter,2.411,0.884,3.0,1.0,0.6829999999999999,0.20099999999999998,0.0615,0.05450000000000001,0.995614035088,0.927083333333,0,0
10,GTFT: 0.9,2.3575,0.975,0.0,1.0,0.7635000000000001,0.21150000000000002,0.0105,0.014500000000000002,1.0,0.890765050379,1.0,0.919444444444
11,Random: 0.5,2.264,0.4985,11.0,0.65,0.25549999999999995,0.24300000000000002,0.24899999999999997,0.25250000000000006,0.518932575708,0.522533638955,0.458329917423,0.454497777791
12,SolutionB1,2.2595,0.905,5.0,0.0,0.6855000000000001,0.21950000000000003,0.027000000000000014,0.06800000000000003,1.0,1.0,0.462962962963,0.8125
13,Random Tit for Tat: 0.5,2.2515,0.526,8.0,1.0,0.33649999999999997,0.1895,0.19200000000000003,0.282,0.696614544953,0.273328712545,0.792621987066,0.352983669531
14,Meta Minority: 200 players,2.2255,0.5435,9.0,0.0,0.165,0.37849999999999995,0.3185,0.138,0.362071987033,1.0,0,1.0
15,DoubleResurrection,2.168,0.5145,6.5,1.0,0.3215,0.193,0.17950000000000002,0.306,0.864501423101,0,1.0,0.173964443327
16,Random: 0.7,2.134,0.69,7.0,0.75,0.38599999999999995,0.30400000000000005,0.16649999999999998,0.14350000000000002,0.695267005805,0.666705021172,0.72216828189,0.703871433677
17,Winner21,2.11,0.336,14.5,0.0,0.2920000000000001,0.044000000000000004,0.14250000000000002,0.5214999999999999,1.0,0,0.56629283345,0.286195286195
18,Cycler CCCDCD,2.1075,0.68,7.0,1.0,0.34450000000000003,0.3355000000000001,0.1885,0.1315,0.552228844205,0.558018169378,1.0,1.0
19,Pun1,1.975,0.7215,5.0,0.0,0.42349999999999993,0.29799999999999993,0.1065,0.17200000000000001,1.0,0.357125603865,1.0,1.0
20,Hard Go By Majority: 20,1.925,0.383,11.5,0.0,0.266,0.11700000000000002,0.1275,0.48949999999999994,1.0,0.81969541545,0.774164438503,0
